title,authors,categories,average_rating,ratings_count
Gilead,Marilynne Robinson,Fiction,3.85,361.0
Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,3.83,5164.0
The One Tree,Stephen R. Donaldson,American fiction,3.97,172.0
Rage of angels,Sidney Sheldon,Fiction,3.93,29532.0
The Four Loves,Clive Staples Lewis,Christian life,4.15,33684.0
The Problem of Pain,Clive Staples Lewis,Christian life,4.09,37569.0
An Autobiography,Agatha Christie,"Authors, English",4.27,3975.0
Empires of the Monsoon,Richard Hall,"Africa, East",4.41,65.0
The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",4.15,103.0
Master of the Game,Sidney Sheldon,Adventure stories,4.11,43540.0
If Tomorrow Comes,Sidney Sheldon,Adventure stories,4.04,49170.0
Assassin's Apprentice,Robin Hobb,American fiction,4.15,133972.0
Warhost of Vastmark,Janny Wurts,Fiction,4.03,2966.0
The Once and Future King,Terence Hanbury White,Arthurian romances,4.04,2805.0
Murder in LaMut,Raymond E. Feist;Joel Rosenberg,Adventure stories,3.7,5083.0
Jimmy the Hand,Raymond E. Feist;S. M. Stirling,Fantasy fiction,3.95,5579.0
Well of Darkness,Margaret Weis;Tracy Hickman,Fantasy,3.66,68.0
Witness for the Prosecution & Selected Plays,Agatha Christie,English drama,4.05,3908.0
The Little House,Philippa Gregory,Country life,3.66,1832.0
Mystical Paths,Susan Howatch,English fiction,4.23,1023.0
Glittering Images,Susan Howatch,English fiction,4.07,2045.0
Glamorous Powers,Susan Howatch,Clergy,4.2,1441.0
The Mad Ship,Robin Hobb,Fantasy fiction,4.24,36101.0
Post Captain,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",4.29,7815.0
The Reverse of the Medal,Patrick O'Brian,Adventure stories,4.41,177.0
Miss Marple,Agatha Christie,"Detective and mystery stories, English",4.2,6235.0
The Years of Rice and Salt,Kim Stanley Robinson,Black Death,3.73,194.0
Spares,Michael Marshall Smith,Human cloning,4.13,2481.0
Gravity,Tess Gerritsen,Science fiction,4.04,8024.0
The Wise Woman,Philippa Gregory,Great Britain,3.31,6583.0
Girls' Night in,Jessica Adams;Chris Manby;Fiona Walker,American fiction,3.26,140.0
The White Album,Joan Didion,American essays,4.17,91.0
The Bonesetter's Daughter,Amy Tan,China,3.98,414.0
The Lexus and the Olive Tree,Thomas L. Friedman,Capitalism,3.59,87.0
'Tis,Frank McCourt,Ireland,3.68,44179.0
Ocean Star Express,Mark Haddon;Peter Sutton,Juvenile Fiction,3.5,1.0
A Small Pinch of Weather,Joan Aiken,"Children's stories, English",4.27,116.0
The Princess of the Chalet School,Elinor Mary Brent-Dyer,Juvenile Fiction,4.1,446.0
Koko,Peter Straub,Male friendship,3.56,7586.0
Tree and Leaf,John Ronald Reuel Tolkien,Literary Collections,4.09,2245.0
Partners in Crime,Agatha Christie,"Beresford, Tommy (Fictitious character)",3.77,9506.0
Murder in Mesopotamia,Agatha Christie,Detective and mystery stories,3.89,25692.0
"The Lord of the Rings, the Return of the King",Jude Fisher,Imaginary wars and battles,4.59,22.0
All Families are Psychotic,Douglas Coupland,Dysfunctional families,3.69,350.0
Death in the Clouds,Agatha Christie,Detective and mystery stories,3.8,21123.0
Appointment with Death,Agatha Christie,Detective and mystery stories,3.86,24859.0
Hallowe'en Party,Agatha Christie,"Poirot, Hercule (Fictitious character)",3.66,18820.0
Hercule Poirot's Christmas,Agatha Christie,Christmas stories,3.93,23113.0
The Big Four,Agatha Christie,Detective and mystery stories,3.59,22155.0
The Thirteen Problems,Agatha Christie,"Detective and mystery stories, English",3.89,12840.0
They Do it with Mirrors,Agatha Christie,American fiction,3.75,415.0
A Murder is Announced,Agatha Christie,"Detective and mystery stories, English",3.98,680.0
The Mirror Crack'd from Side to Side,Agatha Christie,"Marple, Jane (Fictitious character)",3.91,23249.0
Mrs McGinty's Dead,Agatha Christie,Belgians,3.83,525.0
Taken at the Flood,Agatha Christie,Fiction,3.71,8852.0
The Hollow,Agatha Christie,Detective and mystery stories,3.79,13022.0
Third Girl,Agatha Christie,Belgians,3.62,13705.0
The Secret of Chimneys,Agatha Christie,"Battle, Superintendent (Fictitious character)",3.86,11110.0
The Lord of the Rings,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",4.49,187.0
The Metaphysical Club,Louis Menand,Cambridge (Mass.),4.07,3311.0
The illustrated man,Ray Bradbury,Fiction,4.14,56781.0
Wilkins' Tooth,Diana Wynne Jones,Business enterprises,3.59,69.0
Cut,Patricia McCormick,Emotional problems,3.76,107.0
The Fellowship of the Ring,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",4.35,56.0
Lirael,Garth Nix,Fantasy fiction,4.3,1339.0
Tales from the Perilous Realm,John Ronald Reuel Tolkien,"Fairy tales, English",4.08,2964.0
Breaking Open the Head,Daniel Pinchbeck,Hallucinogenic drugs,4.06,46.0
The Yiddish Policemen's Union,Michael Chabon,Fiction,3.7,51219.0
"Beware, Princess Elizabeth",Carolyn Meyer,Children's stories,3.88,78.0
The Family Way,Tony Parsons,Parenthood,3.51,2095.0
Endless Night,Agatha Christie,FICTION,3.77,12740.0
How to be Alone,Jonathan Franzen,Literary Collections,3.6,327.0
The Mysterious Mr. Quin,Agatha Christie,Detective and mystery stories,3.72,7514.0
The Listerdale Mystery,Agatha Christie,Detective and mystery stories,3.55,178.0
The Real Trial of Oscar Wilde,Merlin Holland,Biography & Autobiography,4.04,183.0
I Can Read with Me Eyes Shut!,Dr. Seuss,"Authors, American",4.2,16561.0
"Oh, the Places You'll Go!",Dr. Seuss,Adventure stories,4.35,926.0
